"Interact with many, including strangers","Interact with a few, known to you",E,I
Realistic than speculative,Speculative than realistic,S,N
Have your 'head in the clouds',Be 'in a rut',S,N
Principles,Emotions,T,F
Convincing,Touching,T,F
To deadlines,Just 'whenever',J,P
Rather carefully,Somewhat impulsively,J,P
"Stay late, with increasing energy",Leave early with decreased energy,E,I
Sensible people,Imaginative people,S,N
What is actual,What is possible,S,N
Laws than circumstances,Circumstances than laws,T,F
Objective,Personal,T,F
Punctual,Leisurely,J,P
Incomplete,Completed,J,P
Keep abreast of other's happenings,Get behind on the news,E,I
Do it the usual way,Do it your own way,S,N
Consistency of thought,Harmonious human relationships,T,F
Logical judgments,Value judgments,T,F
Settled and decided,Unsettled and undecided,J,P
Serious and determined,Easy-going,J,P
Rarely question that it will all be said,Rehearse what you'll say,E,I
'Speak for themselves',Illustrate principles,S,N
somewhat annoying,rather fascinating,S,N
a cool-headed person,a warm-hearted person,T,F
unjust,merciless,T,F
by careful selection and choice,randomly and by chance,J,P
having purchased,having the option to buy,J,P
initiate conversation,wait to be approached,E,I
rarely questionable,frequently questionable,S,N
make themselves useful enough,exercise their fantasy enough,S,N
standards,feelings,T,F
firm than gentle,gentle than firm,T,F
the ability to organize and be methodical,the ability to adapt and make do,J,P
infinite,open-minded,J,P
stimulate and energize you,tax your reserves,E,I
a practical sort of person,a fanciful sort of person,S,N
see how others are useful,see how others see,S,N
to discuss an issue thoroughly,to arrive at agreement on an issue,T,F
contracted,done on a casual basis,J,P
the orderly,whatever turns up,J,P
many friends with brief contact,a few friends with more lengthy contact,E,I
facts,principles,S,N
production and distribution,design and research,S,N
'There is a very logical person.','There is a very sentimental person.',T,F
unwavering,devoted,T,F
final and unalterable statement,tentative and preliminary statement,J,P
speak easily and at length with strangers,find little to say to strangers,E,I
experience,hunch,S,N
more practical than ingenious,more ingenious than practical,S,N
clear reason,strong feeling,T,F
fair-minded,sympathetic,T,F
make sure things are arranged,just let things happen,J,P
re-negotiable,random and circumstantial,J,P
hasten to get to it first,hope someone else will answer,E,I
a strong sense of reality,a vivid imagination,S,N
fundamentals,overtones,S,N
to be too passionate,to be too objective,T,F
hard-headed,soft-hearted,T,F
the structured and scheduled,the unstructured and unscheduled,J,P
routinized than whimsical,whimsical than routinized,J,P
the more literal,the more figurative,S,N
identify with others,utilize others,S,N
clarity of reason,strength of compassion,T,F
being indiscriminate,being critical,T,F
planned event,unplanned event,J,P
deliberate than spontaneous,spontaneous than deliberate,J,P
